name,n,base_mean,base_std,base_ci_lower,base_ci_upper,quantized_mean,quantized_std,quantized_ci_lower,quantized_ci_upper,degradation,effect_size_cohens_d,p_value_ttest,significant_ttest,p_value_wilcoxon,significant_wilcoxon,model,p_value_bonferroni,significant_bonferroni,p_value_fdr,significant_fdr
previous_token_heads,3000,0.12393176555633545,1.5586285591125488,0.07256686687469488,0.18349261172115802,0.12397651374340057,1.5578362941741943,0.0682935269549489,0.18104703426361082,-0.00036107117193751037,-0.004789229016751051,0.7931288764270754,False,0.9234561482055696,False,gpt2_fp16_gpu,1.0,False,0.9057509041682432,False
duplicate_token_heads,2000,0.24942950904369354,1.605790138244629,0.17567716352641582,0.31495913937687875,0.2494722604751587,1.605058193206787,0.1810023404657841,0.31792130023241044,-0.00017139685223810375,-0.004569055046886206,0.8381529442807782,False,0.935007250842666,False,gpt2_fp16_gpu,1.0,False,0.9057509041682432,False
induction_heads,5000,0.2968946397304535,1.539828896522522,0.253162281960249,0.33956212773919103,0.29698842763900757,1.5388703346252441,0.2555362395942211,0.3441725574433803,-0.00031589626451022923,-0.010061015374958515,0.47690049663876133,False,0.647201447740736,False,gpt2_fp16_gpu,1.0,False,0.7739872779329291,False
s_inhibition_heads,4000,0.7903800010681152,1.531522274017334,0.7414389356970787,0.8390511065721512,0.7906146049499512,1.5304886102676392,0.7420408293604851,0.8374957889318466,-0.00029682417516596615,-0.025125231593847275,0.11217094068246876,False,0.1759410635491021,False,gpt2_fp16_gpu,1.0,False,0.2588560169595433,False
name_mover_heads,5000,0.19612625241279602,1.5362884998321533,0.151694567874074,0.23740965016186236,0.19632163643836975,1.535398006439209,0.15273443572223186,0.24045202359557152,-0.0009962156182155013,-0.021028168499469757,0.13713932727946188,False,0.2099750783132862,False,gpt2_fp16_gpu,1.0,False,0.2938699870274183,False
negative_name_mover_heads,2000,-0.8228709697723389,1.9513276815414429,-0.9075146526098251,-0.7327251583337784,-0.8228257894515991,1.9506950378417969,-0.907498513162136,-0.7366755321621895,5.490571857080795e-05,-0.004827811382710934,0.8291249074658299,False,0.9691329118513025,False,gpt2_fp16_gpu,1.0,False,0.9057509041682432,False
backup_name_mover_heads,5000,0.13731366395950317,1.511139154434204,0.0940505849197507,0.1763757925480604,0.13738733530044556,1.5102659463882446,0.09707429297268391,0.17695659436285496,-0.0005365186370909214,-0.007891854271292686,0.5768812861902988,False,0.738171219338768,False,gpt2_fp16_gpu,1.0,False,0.8653219292854482,False
all_heads,26000,0.21300403773784637,1.618260145187378,0.1933121606707573,0.2330490905791521,0.21312180161476135,1.6174226999282837,0.19350213930010796,0.2329768195748329,-0.0005528715555556118,-0.012627284042537212,0.041755520065922196,True,0.1351996959547444,False,gpt2_fp16_gpu,1.0,False,0.13918506688640733,False
all_paths,12000,0.26731497049331665,1.5262984037399292,0.23787195459008217,0.29621590599417685,0.26741328835487366,1.5253530740737915,0.23922270350158215,0.29576975405216216,-0.0003677978238556534,-0.010480744764208794,0.25096660178061897,False,0.40577251432686745,False,gpt2_fp16_gpu,1.0,False,0.49890557400333874,False
DT→S-INH_paths,2000,0.22485704720020294,1.5468696355819702,0.16295335292816163,0.2910585217177868,0.22488132119178772,1.5460071563720703,0.15604076869785788,0.29512477219104766,-0.00010795299749588594,-0.0026013932656496763,0.9074195300980821,False,0.9803586145531105,False,gpt2_fp16_gpu,1.0,False,0.9074195300980821,False
IND→BNM_paths,2000,0.10793261975049973,1.531556248664856,0.040851939655840414,0.17585507705807682,0.10797227174043655,1.5306620597839355,0.04058278789743782,0.17637733183801171,-0.00036737724440172315,-0.00424222182482481,0.849586591425316,False,0.9485184308590531,False,gpt2_fp16_gpu,1.0,False,0.9057509041682432,False
IND→NM_paths,2000,0.11626220494508743,1.5344535112380981,0.052632367610931395,0.1814209785312414,0.11629753559827805,1.5335499048233032,0.051708981115371,0.18119489103555678,-0.0003038877039216459,-0.0037793752271682024,0.8658321861632565,False,0.967978859488002,False,gpt2_fp16_gpu,1.0,False,0.9057509041682432,False
PT→IND_paths,2000,0.11462816596031189,1.5181773900985718,0.04764060461893678,0.1755069348961115,0.1146673858165741,1.5172839164733887,0.04525448400527239,0.1770136032253503,-0.00034214850165881217,-0.004200114868581295,0.8510619926652684,False,0.9632857360087156,False,gpt2_fp16_gpu,1.0,False,0.9057509041682432,False
S-INH→NM_paths,2000,0.6599270701408386,1.4744852781295776,0.5925064072012901,0.7223872795701026,0.6602723598480225,1.4733234643936157,0.5915184050798417,0.7285152524709702,-0.0005232240655459464,-0.036520205438137054,0.10266334242694168,False,0.12926665375205917,False,gpt2_fp16_gpu,1.0,False,0.2566583560673542,False
S-INH→NNM_paths,2000,0.3802826702594757,1.4714934825897217,0.31580383256077765,0.44636374711990356,0.3803887367248535,1.4703871011734009,0.31429483368992805,0.4474165812134743,-0.00027891481295228004,-0.01122568640857935,0.6157914234584709,False,0.6992759901927423,False,gpt2_fp16_gpu,1.0,False,0.8797020335121014,False
previous_token_heads,3000,0.12393176555633545,1.5586285591125488,0.06607614420354366,0.17531298585236071,0.15038689970970154,1.5442657470703125,0.09567654915153981,0.2053894180804491,-0.21346531808376312,-0.03847809135913849,0.03518474394455591,True,0.03089917448713941,True,gpt2_int8_quantized,1.0,False,0.13194278979208465,False
duplicate_token_heads,2000,0.24942950904369354,1.605790138244629,0.1747266195714474,0.3193138375878334,0.23850171267986298,1.5542184114456177,0.16947799772024155,0.31098078936338425,0.04381116107106209,0.015435656532645226,0.4901919426908551,False,0.5716105651879126,False,gpt2_int8_quantized,1.0,False,0.7739872779329291,False
induction_heads,5000,0.2968946397304535,1.539828896522522,0.2573024719953537,0.33891972452402114,0.30802905559539795,1.5238838195800781,0.26275410354137424,0.3509781040251255,-0.037502918392419815,-0.0157312024384737,0.26608297280178067,False,0.2550498250930183,False,gpt2_int8_quantized,1.0,False,0.49890557400333874,False
s_inhibition_heads,4000,0.7903800010681152,1.531522274017334,0.7437765643000603,0.8384111672639847,0.7626772522926331,1.5201733112335205,0.713739886879921,0.8143251851201058,0.035049911588430405,0.038266461342573166,0.015569893328397514,True,0.004317209027405397,True,gpt2_int8_quantized,0.4670967998519254,False,0.09341935997038509,False
name_mover_heads,5000,0.19612625241279602,1.5362884998321533,0.15382001027464867,0.23512516766786576,0.21476390957832336,1.5210515260696411,0.17301513440907001,0.25778644606471063,-0.09502887725830078,-0.02747771516442299,0.05209960268787375,False,0.039566939603241154,True,gpt2_int8_quantized,1.0,False,0.15629880806362126,False
negative_name_mover_heads,2000,-0.8228709697723389,1.9513276815414429,-0.9108938127756119,-0.7337822571396828,-0.5813400745391846,1.979681372642517,-0.6658743128180504,-0.4894959606230259,0.2935222089290619,-0.28882792592048645,1.0607090115247162e-36,True,9.677782375033107e-34,True,gpt2_int8_quantized,3.182127034574149e-35,True,3.182127034574149e-35,True
backup_name_mover_heads,5000,0.13731366395950317,1.511139154434204,0.09743115212768318,0.17582406923174856,0.1599012017250061,1.4980162382125854,0.11864637676626444,0.2027227833867073,-0.16449591517448425,-0.0331931933760643,0.018970239556787484,True,0.015912785491686638,True,gpt2_int8_quantized,0.5691071867036245,False,0.09485119778393741,False
all_heads,26000,0.21300403773784637,1.618260145187378,0.19357280917465686,0.23183678910136224,0.2396024465560913,1.5931495428085327,0.22083626724779606,0.25889005288481715,-0.12487278878688812,-0.03740834444761276,1.6433338835777121e-09,True,3.700078056984535e-08,True,gpt2_int8_quantized,4.9300016507331366e-08,True,2.4650008253665683e-08,True
all_paths,12000,0.26731497049331665,1.5262984037399292,0.24041759483516217,0.29413552209734917,0.28760480880737305,1.5225625038146973,0.2598888337612152,0.3143665350973606,-0.07590236514806747,-0.029126424342393875,0.001423888871135599,True,0.001584229245617123,True,gpt2_int8_quantized,0.04271666613406797,True,0.01423888871135599,True
DT→S-INH_paths,2000,0.22485704720020294,1.5468696355819702,0.15554549358785152,0.28901188969612124,0.23063665628433228,1.5320847034454346,0.1630413580685854,0.29893067553639413,-0.02570348232984543,-0.008382142521440983,0.7078734452912439,False,0.6509883543530202,False,gpt2_int8_quantized,1.0,False,0.9057509041682432,False
IND→BNM_paths,2000,0.10793261975049973,1.531556248664856,0.041972446255385876,0.1745921470224857,0.14252826571464539,1.5261868238449097,0.0723429897800088,0.2076511614024639,-0.3205300271511078,-0.050372060388326645,0.024421306097139245,True,0.022588995570546132,True,gpt2_int8_quantized,0.7326391829141774,False,0.10466274041631105,False
IND→NM_paths,2000,0.11626220494508743,1.5344535112380981,0.04919159617275,0.17695023007690905,0.15559326112270355,1.5266072750091553,0.08664674162864686,0.2246847841888666,-0.33829614520072937,-0.05708086118102074,0.010781515925733919,True,0.009770063063853416,True,gpt2_int8_quantized,0.32344547777201754,False,0.08086136944300439,False
PT→IND_paths,2000,0.11462816596031189,1.5181773900985718,0.05252845715731383,0.17840209640562532,0.14148762822151184,1.515130639076233,0.07896373663097621,0.20590255260467527,-0.23431816697120667,-0.039381496608257294,0.07843297101093095,False,0.07233929814804732,False,gpt2_int8_quantized,1.0,False,0.21390810275708444,False
S-INH→NM_paths,2000,0.6599270701408386,1.4744852781295776,0.600138832628727,0.7256906107068062,0.6624652147293091,1.4902325868606567,0.6009553208947181,0.7325765416026115,-0.00384609866887331,-0.0035030324943363667,0.8755592073626352,False,0.9580061431887411,False,gpt2_int8_quantized,1.0,False,0.9057509041682432,False
S-INH→NNM_paths,2000,0.3802826702594757,1.4714934825897217,0.31802219972014434,0.4428487882018089,0.3929179012775421,1.4734396934509277,0.3243057891726494,0.45593997538089753,-0.0332258939743042,-0.01789834536612034,0.4236678844476761,False,0.4543102955048558,False,gpt2_int8_quantized,1.0,False,0.7476492078488403,False
